Title;Author(s);Year;Country
The NessStretch: This PaulStretch Algorithm Goes to 9;"Alex Ness;Sam Pluta";2021;Chile
Sound Synthesis by Connecting a Chaotic Map to a Bank of Resonators;"Edgar Berdahl;Landon Viator";2021;Chile
Mixed Scape: Development of Framework and Artwork for Auditory Correspondence in Mixed Reality;"Seungsoon Park;Jongpil Lee;Taewan Kim;Tae Hong Park;Joonhyung Bae;Juhan Nam";2021;Chile
An Investigation of Phase-Coupled Oscillators;David DeFilippo;2021;Chile
MYtrOmbone: Exploring gesture-controlled live electronics in solo trombone performance;"James Dooley;Simon Hall";2021;Chile
Kinetic Sound Sculpture: Sounding Influencer, a new Instrument with moving loudspeakers – further development of the underlying pendulum model;"Peter Färber;Annkathrin Pöpel";2021;Chile
Open source hardware automated guitar player;"Andrew Henry;Charles Fox";2021;Chile
Musical Model-based Sonification of Protein Fold-change Data in Cancer Cells;Milad K. Mardakheh;2021;Chile
DreamSound: Deep Activation Layer Sonification;"Federico Nicolás Cámara Halac;Matías Delgadino";2021;Chile
Generate or Search: Naive Search Can Augment Piano Improvisation Experiences of Novice Players;Hiromu Yakura;2021;Chile
Modeling Baroque Two-Part Counterpoint with Neural Machine Translation;"Eric P. Nichols;Stefano Kalonaris;Gianluca Micchi;Anna Aljanaki";2021;Chile
AudioStellar, an open source corpus-based musical instrument for latent sound structure discovery and sonic experimentation;"Leandro Garber;Tomás Ciccola;Juan Cruz Amusategui";2021;Chile
Ear Talk ​Project: Repurposing YouTube Live for Online Co-composition and Performance;"Toshihisa Tsuruoka;Leo Chang;Oliver Hickman";2021;Chile
Ensemble Nonlinear: Low-cost Ensemble Performance with Networked Raspberry Pi’s;Rob Hamilton;2021;Chile
Networked Open Form: Conductor-Mediated Improvisation with Indra;Drake Andersen;2021;Chile
A Methodology for Virtualizing Complex Sound Sources into 6DoF Recordings;Jeffrey Clark;2021;Chile
"Extramentality;Automatic Mapping Generation for Gestural Control of Electronic Music";"Virginia de las Pozas;Tae Hong Park";2021;Chile
Triggering models for effortful musical interaction be-yond direct cognitive control;Zlatko Baracskai;2021;Chile
Pi-Shaker: A New Workflow for Augmented Instruments;"Vesa Norilo;Andrew Brown";2021;Chile
Headmusic: Exploring the Potential of a Low-Cost Commercial EEG Headset for the Creation of NIMEs;"Christine Steinmeier;Dominic Becking";2021;Chile
Spatial System Design As A Spatio-Compositional Strategy;"Jesse Austin-Stewart;Bridget Johnson";2021;Chile
CORROSE: The Loudspeaker's Compositional Influence Acoustically Signified;Jack Woodbury;2021;Chile
Temporal Transformations and Spatial Explorations in Sound-Light Art;"Alexandros Kontogeorgakopoulos;Odysseas Klissouras";2021;Chile
Immersive Spatial Sound Design Using Creative Commons Audio;"Lucy Irvine;Mathieu Barthet";2021;Chile
The story and the insides of a spatial performance tool: Live 4 Life;Christophe Lengelé;2021;Chile
Electro-Somaesthetic Music: Spatial Approaches;Alexis Story Crawshaw;2021;Chile
Instrumental Radiation Patterns as Models for Corpus-Based Spatial Sound Synthesis: Cosmologies for Piano and 3D Electronics;"Aaron Einbond;Jean Bresson;Diemo Schwarz;Thibaut Carpentier";2021;Chile
SeamLess Integration of Spatial Sound Reproduction Methods;"Henrik von Coler;Paul Schuladen;Nils Tonnätt";2021;Chile
Timbre Manipulation from Audio Features Based on Fractal Additive Synthesis;"Thiago Rossi Roque;Rafael Santos Mendes";2021;Chile
Learning Models for Query by Vocal Percussion: A Comparative Study;"Alejandro Delgado;SKoT McDonald;Ning Xu;Charalampos Saitis;Mark Sandle";2021;Chile
Contour-Preserving Melody Conversion;"Satoru Fukayama;Masataka Goto";2021;Chile
Performer Identification From Symbolic Representation of Music Using Statistical Models;"Syed Rifat Mahmud Rafee;Gyorgy Fazekas;Geraint A. Wiggins";2021;Chile
#otherbeats: A Hypermediated Playback System in Web Audio;Marcel Zaes Sagesser;2021;Chile
Phil Winsor's Musical Poetics: Music is Nothing, Music is Nowhere, Music is Nothing.;Ken Paoli;2021;Chile
Designing and Practicing Embodied Sonic Meditation;Jiayue Cecilia Wu;2021;Chile
Let-act: Challenges of Collaborative Multimedia Performances;Zlatko Baracskai;2021;Chile
DDSS: a diffusion-based extension of Xenakis' dynamic stochastic synthesis;"Emilio L. Rojas;Rodrigo F. Cádiz";2021;Chile
Hand gesture to timbre converter;"Miller Puckette;Kerry Hagan";2021;Chile
Guitar Virtual Instrument using Physical Modelling with Collision Simulation;"Ka-wing Ho;Yiu Ling;Chuck-jee Chau";2021;Chile
MVerb and MVerb3D: Modified Waveguide Mesh Reverb Plugins;Jon Christopher Nelson;2021;Chile
Using tf-idf and cosine similarity in Shazam-based fingerprinting algorithms;"Arthur P. M. Tofani;Marcelo Queiroz";2021;Chile
Comparison of Methods for Bass Line Onset Detection;"Gabriel Durán;Patricio de la Cuadra;Domingo Mery";2021;Chile
Joint Beat and Downbeat Tracking Based on CRNN Models and a Comparison of Using Different Context Ranges in Convolutional Layers;"Tian Cheng;Satoru Fukayama;Masataka Goto";2021;Chile
Song Melody Generation Using Dual-Encoder Transformer with Input of Lyrics and Chord Progressions;"Aozhi Liu;Yaqi Mei;Zifeng Cai;Zhaohua Zhu;Baoqiang Han;Jianfeng Li;Jing Xiao";2021;Chile
Sonification for 3D-Printing Process Monitoring;"Maxime Poret;Sébastien Ibarboure;Matthias Robine;Emmanuel Duc;Nadine Couture;Myriam Desainte-Catherine;Catherine Semal";2021;Chile
Sonification of Glitch-Video: Making and Evaluating Audiovisual Art made from the Betta Fish;"Kittiphan Janbuala;PerMagnus Lindborg";2021;Chile
The Effects of Pitch, Dynamics, and Vowel on the Emotional Characteristics of the Tenor Voice;"Bing Yen Chang;Hiu Ting Chan;Andrew Horner";2021;Chile
Muzilator - A Plugin-Based Web Platform as a Collaborative Virtual Lab for Music Interaction;"Or Perets;Revital Hollander";2021;Chile
Emerging structures within microtime of Ligeti’s Continuum;"Micael Antunes;Danilo Rossetti;Jônatas Manzolli";2021;Chile
Sketching Sounds: an exploratory study on sound-shape associations;"Sebastian Löbbers;Mathieu Barthet;György Fazekas";2021;Chile
Perceptual Evaluation of Sound Trajectories in Space;"F. Schumacher;V. Espinoza;R. Vergara;F. Mardones;A. Aranguiz;V. Aguilera";2021;Chile
A Head-to-Head Comparison of the Emotional Characteristics of the Violin and Erhu on the Butterfly Lovers Concerto;"Dustin LEE;Wenyi SONG;Andrew HORNER";2021;Chile
Digging it: Programmatic Data Mining as Musicking;"Pierre Alexandre Tremblay;Gerard Roma;Owen Green";2021;Chile
SonicDraw: a web-based tool for sketching sounds and drawings;"Teodoro Dannemann;Mathieu Barthet";2021;Chile
“Machinatuosity”: Virtual Strings, Spectral Filters and Temperament Tools for ‘Esquisse’;Richard Dudas;2021;Chile
Converge/Diverge: Collaborative Emergence in a Composition for Piano, Double Bass and Interactive Music System.;Artemi-Maria Gioti;2021;Chile
Generative Music using reactive Programming;"Petit Bertrand ( INRIA );Manuel Serrano (INRIA)";2021;Chile
QuBits, a System for Interactive Sonic Virtual Reality;"Jon Kulpa;Edmund Campion;Carmine Cella";2021;Chile
A Ratio-based Interface for Musical Control of an Iterated Function System;Oliver Hancock;2021;Chile
Incorporating Playing Techniques Generation into Style-Specific Symbolic Music Generation;"Yifan Xie;Rongfeng Li";2021;Chile
Current Activism Trends in Sound Art and Electroacoustic Music in Mexico and Colombia;"Juan Carlos Vasquez;Omar Fraire";2021;Chile
Vocabulary ruts in Mixed Music – multifarious terms with many ascriptions;Miriam Akkermann;2021;Chile
Reconfiguring Instrumental Performance in Perú: Ensamble de Laptops de la Universidad Nacional de Música - ELUNM;José Ignacio López Ramírez Gastón;2021;Chile
The Soundscaper: A Tool for Soundscape Re-Synthesis;"Tae Hong Park;Scott Murakami";2021;Chile
The Expanding Universe of Poetic Voice;Sachi Tanihara;2021;Chile
Emulating the Comdasuar;Diego de la Fuente Curaqueo;2021;Chile
Aural Weather Etude: Installing Atmosphere;Vesa Norilo - Josué Moreno;2021;Chile
Predicting and Critiquing Machine Virtuosity: Mawwal Accompaniment as Case Study;"Fadi M. Al-Ghawanmeh;Melissa J. Scott;Mohamed-Amine Menacer;Kamel Smaili";2021;Chile
Acoustic Control using the Internet of Things: Introducing the Concept of a Socially Responsible Noise Source;Edgar Berdahl;2021;Chile
Der Hörweg / The Listening Path: Augmenting Acoustic Ecology for a Rural Community;Sabine Breitsameter;2021;Chile
Moving Along Sound Spectra: An Experiment with Feedback Loop Topologies and Audible Ecosystems;Ricardo Thomasi & Regis Rossi A. Faria;2021;Chile
High-Performance Tools to Generate and Visualize a Sonic Time-Lapse;"Diego Espejo;Victor Poblete;Felipe Otondo;Pablo Huijse";2021;Chile
Network Modulation Synthesis: New Algorithms for Generating Musical Audio Using Autoencoder Networks;Jeremy Hyrkas;2021;Chile
Neural Granular Sound Synthesis;"Adrien Bitton;Philippe Esling;Tatsuya Harada";2021;Chile
AMI - Creating Coherent Musical Composition with Attention;"Ning Ma;Guy Brown;Paolo Vecchiotti";2021;Chile
A Foundations-of-Computation Approach to Formalizing Musical Analysis;Halley Young;2021;Chile
Songrium RelayPlay: A Web-based Listening Interface for Continuously Playing User-generated Music Videos of the Same Song with Different Singers;"Masahiro Hamasaki;Keisuke Ishida;Tomoyasu Nakano;Masataka Goto";2021;Chile
OrchideaSOL: a dataset of extended instrumental techniques for computer-aided orchestration;"Carmine-Emanuele Cella;Daniele Ghisi;Vincent Lostanlen;Fabien Lévy;Joshua Fineberg;Yan Maresz";2021;Chile
The Real-time Synthesis of the Ancient Chinese ChimeBells Instrument of Marquis Yi in Max/MSP Using FZARMA Model;Tsung-Ching Liu;2021;Chile
MusicHastie: field based hierarchical music representation;Charles Fox;2021;Chile
InFracta: the Body as an Augmented Instrument in a Collaborative, Multi-Modal Piece;"Thales Roel Pessanha;Thiago Roque;Guilherme Zanchetta;Lucas Pereira:Gabrielly de Oliveira;Bruna Pinheiro;Renata Paulino;Tiago Tavares";2021;Chile
Conjunction of aesthetics through computer music techniques in the acousmatic piece 'Sheffield 17';Alejandro Albornoz;2021;Chile
Autoethnography and Emotional Exposure as an Approach for Electroacoustic Music Composition;"Becky Brown;Juan Carlos Vasquez";2021;Chile
LazyVoice: A multi-agent approach to fluid voice leading;"Cale Plut;Philippe Pasquier";2021;Chile
An Experiential Course on Creative Sound Design;"Franco Lau;Bing Yen Chang;Yu Hong;Chuck Jee Chau;Beatrice Chu;Phoebe Mok;Giovanna Tang;Derek Siu Yuen Lam;Andrew Horner";2021;Chile
CCM Center for Computer Music Studio 2021;"Mara Helmuth;Yunze Mu;Grace Choi";2021;Chile
Disperf: A Platform for Telematic Music Concert Production;"Michael Palumbo;Doug Van Nort;Rory Hoy";2021;Chile
Space Control: A New Software Application for Intuitive Sound Spatialization;"Raphael Radna;João Oliveira";2021;Chile